date,timestamp,usd,gold18,coin,ounce,silver_ounce,silver_price
2026-09-17,2026-09-17 00:30:48,2305000.0,235013000.0,2340100000.0,4257.83,62.884,4898800.0
2026-09-18,2026-09-18 21:31:10,2279000.0,233630000.0,2319850000.0,4370.06,66.449,5054000.0
2026-09-19,2026-09-19 21:11:06,2302750.0,238781000.0,2374800000.0,4383.45,66.236,5109700.0
2026-09-20,2026-09-20 21:22:28,2307200.0,241237000.0,2390050000.0,4383.45,66.236,5079800.0
2026-09-21,2026-09-21 23:20:15,2308000.0,237072000.0,2339800000.0,4345.08,65.857,5112300.0
2026-09-22,2026-09-22 21:57:23,2332000.0,239390000.0,2374900000.0,4336.46,66.008,5087500.0
2026-09-23,2026-09-23 22:16:45,2317050.0,237659000.0,2364800000.0,4283.05,64.481,5012400.0
